figure_id,name,metric,png
Fig. 1,fig_01_isolated_access_token_generation_avg_ms,access_token_generation_avg_ms,fig_01_isolated_access_token_generation_avg_ms.png
Fig. 2,fig_02_isolated_access_token_generation_p95_ms,access_token_generation_p95_ms,fig_02_isolated_access_token_generation_p95_ms.png
Fig. 3,fig_03_isolated_refresh_token_generation_avg_ms,refresh_token_generation_avg_ms,fig_03_isolated_refresh_token_generation_avg_ms.png
Fig. 4,fig_04_isolated_total_generation_avg_ms,total_generation_avg_ms,fig_04_isolated_total_generation_avg_ms.png
Fig. 5,fig_05_isolated_cpu_utilization_avg_pct,cpu_utilization_avg_pct,fig_05_isolated_cpu_utilization_avg_pct.png
Fig. 6,fig_06_isolated_memory_alloc_avg_mb,memory_alloc_avg_mb,fig_06_isolated_memory_alloc_avg_mb.png
Fig. 7,fig_07_stress_access_token_generation_avg_ms,stress_access_token_generation_avg_ms,fig_07_stress_access_token_generation_avg_ms.png
Fig. 8,fig_08_stress_access_token_generation_p95_ms,stress_access_token_generation_p95_ms,fig_08_stress_access_token_generation_p95_ms.png
Fig. 9,fig_09_stress_end_to_end_response_avg_ms,stress_end_to_end_response_avg_ms,fig_09_stress_end_to_end_response_avg_ms.png
Fig. 10,fig_10_stress_login_avg_ms,stress_login_avg_ms,fig_10_stress_login_avg_ms.png
Fig. 11,fig_11_stress_refresh_avg_ms,stress_refresh_avg_ms,fig_11_stress_refresh_avg_ms.png
Fig. 12,fig_12_stress_throughput_ok_per_s,stress_throughput_ok_per_s,fig_12_stress_throughput_ok_per_s.png
Fig. 13,fig_13_security_attack_block_rate_pct,security_attack_block_rate_pct,fig_13_security_attack_block_rate_pct.png
